spot,recommend,rank,satellite
成都体育中心,71,4.4,成都市青羊区人民中路一段11号
谛梵养生会馆,21,4.8,成都市青羊区琴台路107号
流杯池,33,4.0,成都市宜宾市翠屏区岷江北岸天柱山下
都江堰城隍庙,46,4.5,。成都市都江堰市都江堰景区玉垒山南麓、玉垒山广场北侧
成都御手国医馆（锦里店）,15,4.8,成都市武侯区武侯祠大街123号附22号（近省交通厅）
冠军溜冰场,22,4.5,成都市高新区剑南大道998号世豪广场4F
虹口漂流,190,4.5,成都市都江堰市虹口乡光荣村九组
生命奥秘博物馆,176,4.6,成都市青羊区天府广场负一楼B07
中国文化遗产纪念雕塑,42,4.3,成都市金牛区金沙遗址博物馆内
妈妈农庄,66,4.2,成都市郫县唐昌镇战旗村
薛涛井,23,3.8,成都市武侯区望江楼公园文物保护区内
乐宝王国（龙湖北城店）,17,4.4,成都市金牛区龙湖北城天街3楼054--062室
皇城清真寺,63,3.9,成都市青羊区小河街2号
锦华馆,22,4.3,成都市锦江区春熙路北段40号附1号
都江堰水文化广场,72,4.6,成都市都江堰市都江堰大道与太平街交叉
星期8小镇,155,4.6,成都市温江区万春镇
彭州龙门山地震遗址公园,42,4.4,成都市彭州市龙门山镇宝山村
新繁东湖,34,4.3,成都市新都区新繁镇东湖路（外北街东侧）
尊尚柏丽（中华园店）,18,4.6,成都市武侯区桐梓林东路9号中华园D区16号楼一楼
永康森林公园,58,3.9,成都市武侯区永康大道金花镇永康村
安仁老街,39,4.7,成都市大邑县安仁古镇树人街、红星街及裕民街
千高原艺术空间,20,4.5,成都市高新区天府一街699号铁像寺水街南区3-5号
成都巴蜀汉陶艺术博物馆,29,4.2,成都市青羊区酱园公所街9号
嵘御国际男仕SPA会所,22,4.4,成都市武侯区新希望路4号
许燎源现代设计艺术博物馆,10,4.3,成都市锦江区
金沙庵,22,4.2,成都市青羊区灶君庙街56号
元素城堡密室馆(互动剧情密室),37,4.6,一环路南一段12号学府花园书香榭7楼A室(学府影城后身，近川大川音)
龙兴寺,43,4.7,成都市彭州市龙兴北街
崇州文庙,59,4.2,成都市崇州文庙街169号
清溪园,19,4.9,成都市都江堰市离堆公园东南角
成都博物馆新馆,28,4.5,成都市青羊区小河街1号
成都御手国医馆（光华店）,14,4.8,成都市青羊区光华村街85号附301号
万亩观光果园,39,4.3,成都市龙泉驿区柏合镇芦溪路
成都大熊猫生态园旅游博物馆,53,4.6,成都市成华区熊猫大道1375号
彭州园,57,4.7,成都市彭州市金彭西路375号
碧海云天休闲会馆,42,4.2,成都市金牛区蜀辉路477号（羊犀立交桥内侧）
四川成都花水湾巴登巴登温泉会所...,56,4.1,成都大邑花水湾南街9号
锦江剧场(芙蓉国粹变脸秀),108,4.5,华兴正街54号(近王府井)
异次元世界密室逃脱,34,4.6,小科甲巷第一城
蜀乐池温泉休闲中心,36,4.8,成都市温江区凤凰北大街619号
乐宝王国（世豪广场店）,14,4.4,成都市天府二街999号世豪广场3楼
客家杏花村,19,4.5,成都市青白江区福洪乡杏花村
青白江博物馆,18,4.2,成都市青白江区凤凰湖二期田园广场旁
乐宝王国（鹏瑞利店）,27,4.5,成都市青羊区光华大道一段光华北三路鹏瑞利青羊广场
巴金文学院,51,4.4,成都市龙泉驿区龙都南路
3D魔幻/魔画世界,138,4.0,成都市锦江区春熙路北段45号高邦大厦3F-5F（乡村基入口或高邦专卖店进入）
成飞公园,22,4.4,纬一路220(近成飞广场)
成都常乐亚健康调养(金沙店),6,4.8,成都市青羊区金沙遗址88号西贵金沙3楼（建行楼上3楼）
金鸡谷攀岩,8,4.3,成都邛崃市平乐镇
7D互动影院,11,4.4,成都市金牛区交大路凯德广场二期五楼4号
龙桥黑熊救护中心,42,4.3,成都市新都区龙桥镇薛家船风景名胜区内
成都观岭国际高尔夫球会,55,4.5,成都市金堂县观岭大道1188号
成都比如世界,56,4.1,成都市锦江区东大路238号成都市妇女儿童中心一层
赤零密室逃脱(钻石广场店),28,4.5,建设路10号钻石广场a座1026室
3D错觉艺术馆,38,4.4,洛带古镇中国艺库(近艺库)
怡湖公园,62,4.2,成都市青白江区怡湖东路153号
青白江樱花节,56,4.1,成都市青白江区凤凰湖景区
成都理工大学博物馆,13,4.6,成都市成华区二仙桥东三路1号，成都理工大学内
何日君温泉水疗（倪家桥店）,59,4.5,成都市武侯区倪家桥2号附8号
玛雅密室成都体验馆,24,4.4,成都市青羊区光华村街42号乐宾百货四楼（西南财大后门）
